id,fav_cnt,rt_cnt,text
719885162687897600,5,0,"@svejdis Vidíte, většina (drtivá) z těch, s nimiž jsem mluvil já, je ráda za Real s ""vlky""..."
719883342380929024,2,0,@svejdis @sportCT @kalous37 @OndrejZamazal Béčkový zápas? Čistě Váš názor. Já si myslím opak.
719575289928552448,0,2,"RT @GolfVacationsCZ: My už to věděli loni, že @Danny_Willett vyhraje @TheMasters, jen jsme vás mátli červeným sakem. Máte toto číslo 34? ht…"
719492239399981057,0,1,RT @RealTopPraha: @RealTopPraha - 2SCORE
719478149248102401,0,0,"@martinpavek Nezaměňujte invektivu za fakt.To,že nemáte tuchy,jak to chodí v TV, je fakt.A můj švih?Chytrým došlo,že o něj v abecedě nejde."
719453580843999232,0,0,@mr_pess @sportCT @CenekLorenc Dík:-)
719453533356048389,0,0,@aestheticss děkujeme:-)
719257003147837441,1,0,"@martinpavek @sportCT @TheMasters @JordanSpieth Zkuste psát o něčem, o čem aspoň něco víte..."
719253905163579393,1,0,"@garreluk @CzechTV Další nemyslící-nebude abeceda - tedy prostor pro sponzoring, nebude Masters. Reklamu, stále stejnou, vysílají všechny TV"
719251897056698368,1,0,"@martinpavek @sportCT @TheMasters @JordanSpieth Jo? Vy chytrej, kdyby nebylo abecedy - tedy prostoru pro sponzoring, není Masters. Myslete."
719228211117322242,1,0,"@hosekj @CenekLorenc snaha bude:-). Ale i tak už máš krásný den, ne?"
719227296536752129,0,0,@michal_lebeda @TheGlenmorangie no jestli...!
719222098338660357,0,0,@jbohac stopro...
719220474341957632,46,2,"Ke strojům, přátelé, ke strojům! Přenos z finálového kola Masters začíná na ČT Sport za chviličku - ve 20.00!!!"
719212064468811776,3,0,@DavidNov1893 to bych si netrouf...:-)
719143738082246659,28,0,"Mám Tě rád, koloušku...:-)"
719143326549729280,30,3,Housle si mladej tátovi dát netroufl:-)
719132646010396672,75,4,"Amen, pravím vám bratři a sestry, slyšeli jste slovo boží. Nyní jděte v pokoji, nejlépe do Dejvického..."
719131856403374080,23,1,"Neděle začala solidně. Vítězstvím Realu Top Praha nad, pravda oslabeným, týmem 2SCORE, 4:0..."
719131316298637313,0,0,"@Chillimanjaaro @CenekLorenc dneska rozhodně ne, makáme...:-)"
719130598464495617,26,5,"U toho prostě nesmíte chybět, těšíme se na vás...!"
718897596660629505,1,0,@zelenaraketa @CenekLorenc odkuď to je?:-)
718895135191379972,0,0,@OChladek @TheMasters @CenekLorenc díky:-)
718894447610720257,1,0,"@SpravceSite nejde o délku, ale o ukotvení o tělo, to je zakázané..."
718880617207881728,0,0,@fbis29 tak to fakt nemám tuchy:-)
718875391235080192,3,0,Chcete vědět něco o Brysonovi Dechambauovi? jeho profil jsme v novém Golf Vacations časově docela trefili...
718863640494010368,7,1,Libo - li pohled do zákulisí?
718854849736085504,0,83,RT @TheMasters: Wind adds challenge to moving day at #themasters.
718844230324641793,17,1,"Drama v Georgii pokračuje!!!! Třetí den Masters na webu ČTSport od 21.00, po fotbale na ČT Sport...!"
718792436055699458,17,0,Tohle už vážně hraničí se zločinem proti lidskosti...
718789353783345153,20,1,Arsenal srovnal (Koscielny) na 3:3. Je to hodně živý derby...
718784669303627777,38,1,"Potěš pámbu, Arsenal vedl na West Hamem 2:0, jenže během pár minut okolo přestávky trefil Caroll hattrick. Chudák Ospina v bráně..."
718774261259845634,0,0,@Chillimanjaaro @CenekLorenc @TheMasters @AmbienteCZ ...si nejsem jist artikulací na konci přenosu...
718773652855091200,2,0,My děkujeme za dobrý vkus...:_)
718530041274114048,1,0,@petrzajda necháme děkovat:-)
718479600867786752,15,0,"Vstávat a cvičit! Jde se do práce! Druhý den Masters od devíti na webu ČTSport, cca od 22.20 na ČT Sport!"
718431400869916672,0,2357,RT @TheMasters: Welcome to Friday at #themasters.
718431113325191169,0,2,"RT @RealTopPraha: @RealTopPraha - J&amp;T @JarmilzHouslic , @LickaMarcel , @KarelDivis, @robertzaruba , @JaromirBosak , @JanSmidcro , https://t…"
718430974187540480,0,2,"RT @RealTopPraha: @RealTopPraha - J&amp;T @AlexandrSmita , @DavidNov1893 , @JarmilzHouslic , @robertzaruba , @JaromirBosak, @JanSmidcro, https…"
718199248106467328,0,0,@Luppinek hraje špatně...
718163837556494336,0,0,"@Medcin Netuším, co máte na mysli, za CBS fakt neručíme..."
718077652326871042,1,0,@JakubZeman76 protože přenos do Evropy jde od 21.00
718021996009955328,49,11,"No a je to tady, poosmdesáté. Dnes večer začíná Masters!!! U toho musíte být. Od devíti na webu ČT, po fotbale na ČT Sport. Vše živě..."
718020103795769344,0,3,"RT @RealTopPraha: ,,,fotky v pásmu poslední,,, Foto: @JaromirBosak a @AlexandrSmita @JarmilzHouslic , @JakubStefek1 , @LickaMarcel https…"
718017175764746240,0,2,"RT @RealTopPraha: ,,,,pár fotek v pásmu,,,"
718017114800525313,0,3,"RT @RealTopPraha: ,,,další fotky v pásmu,,, Loex - @RealTopPraha foto: @JaromirBosak"
717832053165846528,0,0,"@OFlahertie1 a co propojit počítač s televizí. Pokud jde o ""chytrou"" televizi, není to problém..."
717828906687062016,0,0,"@OFlahertie1 první tři dny jsou na forhontě fotbaly, na neděli ještě pracujeme. Ale čtvrtek až sobota začínáme na webu ČT už ve 21.00."
