id,fav_cnt,rt_cnt,text
720196784702754816,0,1,RT @Blesk24: V neděli 17.4 na Blesk.cz živě rozhovor s M. Zemanem. Dotazy lze poslat přes hashtag #ZemanProBlesk @PREZIDENTmluvci https://t…
720170473083006976,0,0,Pan prezident se ve čtvrtek dne 14. dubna 2016 v 11.30 hodin na Pražském hradě setká se slovenským premiérem Robertem Ficem.
719898283393609728,7,0,Zvukový záznam dnešního projevu pana prezidenta k příslušníkům Policie ČR v Míčovně Hradu naleznete zde:
719891892167712768,20,2,"Je třeba odlišit lidi, kteří svobodně vyjadřují názor od různých Kalousků, kteří se zviditelňují šaškovskými akcemi:"
719891314364563456,4,0,"Je špatný ten, kdo se bojí vyjádřit svoji úctu jenom proto, aby ho často podplacená média neznemožnila:"
719888750340390912,5,1,"KOMENTÁŘ: Andělské kázání padá do prázdna, národ zírá jinam -"
719876901138001922,10,0,"Společný snímek pana prezidenta s ministrem vnitra, policejním prezidentem a pozvanými policisty v Míčovně Hradu."
719875568997638144,24,11,Pan prezident pozval na Hrad příslušníky Policie ČR. Poděkoval jim za zásahy 17.11.15 a při návštěvě prezidenta ČLR.
719864508638998528,20,1,"Paní Ivana Zemanová z rukou náčelníka VKPR R. Pilce obdržela Medaili gen. St. Čečka, mj. za podporu žen v armádě."
719853994563211264,2,0,Prezident Zeman mezi podnikateli hovořil o kanálu Dunaj-Odra-Labe:
719824749698924544,5,0,
719824740391772160,8,0,Druhý den státní návštěvy prezidenti vystoupili s projevy na česko-rakouském podnikatelském fóru v hotelu Hilton.
719624550489669632,15,1,"Sbor na závěr večera zapěl „Ukolébavku“. Patří k nejznám. rakouským skladbám, autorství připisováno W.A.Mozartovi."
719601077507723266,11,0,Úvodním slovem pana prezidenta byla zahájena státní večeře podávaná na počest rakouského prezidentského páru.
719549833741266944,8,3,"Pokračování vypjaté antizemanovské kampaně. Pan prezident společnost sjednocuje, má vysokou podporu veřejnosti:"
719543827623768064,7,1,Závěrečným bodem programu v Lánech byla tisková konference prezidentů.
719529688117460993,6,0,"Salvy v Lánech, dětský sbor i migrace. Zeman s Fischerem řešili uprchlíky:"
719495420020441088,7,2,Rakouský prezidentský pár se zapsal do Pamětní knihy zámku v Lánech.
719495055120207872,5,0,Před zámkem v Lánech.
719493102591950848,14,1,"Slavnostní ceremoniál na zámku v Lánech. Zaznělo 21 čestných dělostřeleckých salv, závěrem pak Radeckého pochod."
719492464231518208,14,0,Položení věnce k hrobu prvního čs. prezidenta T. G. Masaryka v Lánech
719479280221188096,8,0,
719479272080089088,11,1,Přivítání na nádraží ve Stochově.
719468980835065856,6,1,"Rakouský prezident Heinz Fischer, salonní vůz Masaryk, cesta do Stochova."
719463951222841344,3,0,Prezidentský vlak veze rakouskou hlavu státu za Zemanem. Nakoukněte dovnitř:
719462018265268224,6,0,Krátce před odjezdem rakouského prezidentského páru.
719461723267297280,5,2,Prezidentský vlak před chvílí odjel z pražského hlavního nádraží do Stochova.
719456374753783808,18,4,"Prezidentský vlak, kterým pojede rakouský prezidentský pár z Prahy do Stochova."
719450695347367936,20,5,Pražské hlavní nádraží krátce před příjezdem rakouského prezidenta s manželkou.
719415414032351233,3,2,"Podporujeme projekt splavnosti Dunaje – Odry – Labe, shodli se ministři dopravy Polska i Česka:"
719402457059745792,5,2,"Zeman nachystal show pro Rakousko: Děla, historická smlouva i Masarykův vlak-"
719393920501813248,13,1,"Uprchlickou krizi nejlépe zvládne Zeman, myslí si víc než polovina Čechů:"
719237067688013824,4,1,Zeman podepsal spolupráci s generálním prokurátorem Číny Ťien-mingem:
719223074499989504,23,3,Pan prezident zítra uvítá svůj rakouský protějšek na nádraží ve Stochově. Stejně jako TGM před 95 lety.
719180291055730690,0,3,"RT @Blesk24: Politici se za Anděly strefili do @PREZIDENTmluvci, ten se nedal  @Telicka @P_Fiala @Pospisil_Jiri @Pav…"
719159547013775361,12,3,Příprava Prezidentského vlaku v depu v pražské Libni. Vlakem bude zítra cestovat rakouský prezident s manželkou.
718898863764058116,0,1,RT @jan6869: Státní návštěva prezidenta Rakouska v ČR - termíny pro média  @PREZIDENTmluvci …
718882563926921217,63,10,"Angažovaní umělci. 1948, 1977 a teď 2016. Třeba opět uspořádají seanci v Národním divadle a budou podepisovat prezenční listinu."
718878474635767808,0,4,RT @AndrejBabis: Naši letci jsou připraveni do 15minut od povelu bránit náš letecký prostor. V tomhle ohledu se můžeme cítit bezpečně https…
718759570395553792,12,0,"Slovenský premiér Robert Fico se ve čtvrtek setká s panem prezidentem, se kterým ho pojí přátelský vztah:"
718750648368558080,24,2,"První standartu prezidenta republiky pošpinili nacisté. A pak ""umělci"". Za svými slovy si stojím. Je to fašizace:"
718437979052711936,17,1,U příležitosti slavnostního uvítání prezidenta Rakouské republiky Heinze Fischera na zámku v Lánech bude vypáleno 21 čestných dělových salv.
718437170533515264,5,0,"Výběr z programu státní návštěvy prezidenta Rakouské republiky, která se uskuteční ve dnech 11. - 12. dubna:"
718336533313560576,8,0,Mediální expert sledoval včerejší bouři u Jílkové a největším šokem pro něho byl...
718196291562549248,10,0,"Záznam pořadu České televize ""Máte slovo"":"
718181734723022849,3,0,U Jílkové se do sebe bez milosti pustili zastánci a odpůrci čínské návštěvy v ČR:
718150191350747136,0,6,RT @CzechTV: Máte slovo od 21:30 na ČT1: Návštěva čínského prezidenta. Hosté: D.Herman J.Ovčáček J.Veleba J.Rovenský a další
718142631985938432,0,2,RT @hynekkmonicek: Dnes ve 22:00 budu na @CT24zive v pořadu Události a komentáře diskutovat s hudebníkem a politikem Michaelem Kocábem.
718131345688567808,20,1,Paní Ivana Zemanová dnes ve Zlíně předala Nadačnímu fondu dětské onkologie KRTEK do ročního užívání Škodu Fabii.
718086580678877185,16,0,"Pan prezident k Nizozemsku-Výsledek referenda je zapotřebí akceptovat, protože jinak by bylo referendum jen prázdným a neúčinným nástrojem."
718080945128124416,8,1,Pan prezident udělil Řád Bílého lva IV. třídy bývalému velvyslanci Rakouska v ČR Ferdinandu Trauttmansdorffovi.
718055389221240832,6,0,Pan prezident dnes na Hradě předal Zlaté záchranářské kříže za rok 2015.
717801423988199426,12,1,Koncert Charlese Aznavoura byl mimořádným uměleckým zážitkem.
717776380264636416,15,1,Čekání na velkého umělce. Pan prezident se svojí paní zavítali na koncert Charlese Aznavoura.
717732305033408514,8,1,"Pan prezident přijal na Hradě bývalého premiéra Petra Nečase, kterému poděkoval za příspěvek k rozvoji česko-čínských obchodních vztahů."
717726768707346433,0,1,RT @Blesk24: Slovenský premiér Fico přijede příští týden do Prahy. Čekají ho @SlavekSobotka i prezident Zeman  @PREZ…
717726326346686465,0,13,RT @AndrejBabis: Evropská komise je fakt nepoučitelná. Pokračuje dál ve svých nesmyslných návrzích. Měli bychom se znovu vrátit k možnosti…
717698208231788545,46,10,Pan prezident kvóty tvrdě odmítá a bude tvrdě odmítat. To platí i pro kvóty přestrojené. Vůči této bruselské jezince musí zaznít hlasité NE.
717636659446153216,13,2,Pan prezident se svojí paní přivítali na Hradě prezidenta Černé Hory Filipa Vujanoviće s manželkou.
717361512923443200,39,8,"Připomínám, že pan prezident rozhodl, že budou v květnu ve Vladislavském sále vystaveny korunovační klenoty pro veřejnost. 15 dní a zdarma."
717352437565272064,0,1,RT @Blesk24: Odpůrci Zemana museli na policii. @PREZIDENTmluvci zmínil jejich „právo první noci“  @Blesk24
717343355940814848,12,0,Zemanových 62 procent. Kdo z vás to má?
717339361805746176,1,0,Výběr z programu oficiální návštěvy prezidenta Černé Hory v České republice:
717330750819930112,4,0,"Pan prezident dnes jmenoval doc. Ing. Mgr. Tomáše Machulu, Dr., Ph.D., Th.D. rektorem Jihočeské univerzity."
717329200475160576,14,0,"Policie si zvala demonstranty proti Zemanovi, nakonec navrhla potrestat příznivce prezidenta. Co na to TOP 09 a ODS? Policejní stát?"
717303932268232704,14,0,"Projekt kvót je třeba zastavit, ČR by ho měla odmítnout, míní Zeman:"
717294826547503104,18,1,"Snaha TOP 09, ODS a médií udělat z pana prezidenta totalitáře je směšná. Oponenty v Bochově pan prezident osobně pozval na diskusi."
717283872635916288,3,0,ŽIVĚ na #Periscope: Tisková konference tiskového mluvčího prezidenta republiky
717241745105362944,8,0,Dobrou kondici českého prezidenta potvrzuje i jeho mluvčí!
717038131552325632,0,2,"RT @Blesk24: Neví si s prezidentem rady váš učitel ZSV? @PREZIDENTmluvci vám poradí, vzkazuje Hrad studentům  @Blesk…"
717027662829633536,0,129,RT @IsraeliPM: The relationship between Israel &amp; the Czech Republic has always been one of deep friendship and growing cooperation. https:/…
717004019810623488,21,4,Paní učitelka Tykalová není schopna studentům odpovědět. Řešení je jednoduché. Prosím její studenty - zašlete svůj dotaz na můj mail!
716981509169799168,6,2,"Tah na východ: Obama chce, aby milion Američanů uměl do pěti let čínsky."
716904049203920896,5,2,Pan prezident pro Deník: Strach může vést ke zbabělosti a k ústupu. Obavy naopak mohou vést k připravenosti -
716896425104248832,2,1,PM Netanyahu and Chinese Vice Premier Liu Yandong Open Talks on a Bilateral Free Trade Agreement:
716895109032329216,3,0,Čína a Izrael oficiálně zahájily rozhovory o volném obchodu:
716894839229513728,7,1,"Izraelský premiér: Spolupráce mezi Izraelem a Čínou může přinést obrovské výsledky. Věříme, že Izrael může být ideálním partnerem."
716885796003979264,19,3,"Zeman je zdráv, může znovu kandidovat, říkají jeho lékaři:"
716872940596424704,22,4,"V současnosti neexistuje zdravotní překážka, proč by Miloš Zeman nemohl obhajovat funkci prezidenta - šéf lékařského konzilia v Týdnu."
716677856936534018,9,3,"TOP 09 už podpořila neonacisty z praporu Azov, podpora zabijáků z praporu Ajdar tedy nepřekvapuje:"
716652532421013504,7,0,"Velkolepé uvítání v režii Bílého domu v 9/2015: dělostřelecké salvy, přijetí v Oválné pracovně i státní banket:"
716651578074271745,4,2,"25.9.15: Když spolu budou USA a Čína spolupracovat, budou mít ""nedostižnou schopnost"" utvářet běh tohoto století, zdůraznil šéf Bílého domu."
716649335132389376,4,2,"Pan premiér už získal podporu TOP 09, nyní i ODS:"
716642410374238208,3,1,"Havel by byl z jejího dopisu zklamaný, reaguje na Zemanovu kritičku Ovčáček:"
716559716520996864,3,0,Pan prezident kondoloval k úmrtí bývalého ministra zahraničí SRN a velkého státníka Hanse-Dietricha Genschera:
716557094292496385,46,8,"Fanatičtí antizemanovci, kteří stále sní o Karlovi na Hradě, jen vyměnili červené karty za tibetské vlajky. O lidská práva jim vůbec nejde."
716556583178747904,9,1,"Pokrytectví a účelovost jednání českých ""aktivistů"" odhaluje video v článku:"
716287926829756416,5,3,Rozhovor pana prezidenta pro ParlamentníListy.cz:
715989553677512705,23,0,Momentka z návštěvy Královehradeckého kraje.
715989235472457729,4,1,Pan prezident k projektu koridoru Dunaj-Odra-Labe. Čínská nabídka dvou konkrétních firem je zajímavá a vítaná:
715939027199852544,0,1,"RT @hostzCLR: Ničení čínských vlajek považuji za velmi nešťastné, říká sinolog:"
715938007648440321,3,0,"Z tiskové konference, která se konala na závěr návštěvy Královehradeckého kraje."
715936488681250816,12,2,"Nejcennější ze všeho jsou setkání s občany. Státník otevřeně hovoří s lidmi, politik jim vzkazuje fráze přes média."
715903236893511681,0,3,"RT @hostzCLR: ""Ani jeden z nás neprojevoval znaky servility. Přátelství je něco jiného než servilita,"" řekl pan prezident k jednání s prezi…"
715885379312873474,11,2,"Nejen ""šašek Kalousek“. V hnusném počasí rozehřál Zeman tisíc lidí i výbušným výkladem o Tibetu:"
715876094046564353,22,2,"Pan prezident v Kostelci/Orlicí: 800 milionů korun, které chce vláda poskytnout Turecku kvůli migraci, jsou peníze vyhozené do kanálu."
715873954540425217,10,0,Právě teď. Pan prezident diskutuje s občany v Kostelci nad Orlicí. Přišlo na 1200 lidí.
715859282546335744,21,2,Nebohý čestný předseda TOP 09. Už je toto mu zůstalo...
715843630288748544,0,5,"RT @hynekkmonicek: ČR je nyní ve světě populární, na lidská práva přitom nerezignovala. Rozhovor pro @DVTVcz s @veselovskyma #cinacesko htt…"
715830964035911680,5,0,Právě teď. Pan prezident debatuje s občany ve Vrchlabí. Přišlo na 1000 lidí.
715830482630533120,29,10,"Pokud jde o pana Kalouska, až se budu chtít podívat na dobrého šaška, půjdu do cirkusu,"" řekl pan prezident na dotaz občana ve Vrchlabí."
715826289031127044,0,2,RT @hostzCLR: Zemanův tlumočník čínštiny: O protestech si prezidenti neřekli ani slovo -
715823340150210560,0,2,RT @hostzCLR: Naši spojenci. Zdroj: Reuters.
715606288634355712,0,1,"RT @hostzCLR: Lázně, stadion i letadla: Čínský prezident přivezl do Česka druhou vlnu nákupů."
715591571039760384,15,1,Hostem večeře pana prezidenta s podnikateli a osobnostmi Královehradeckého kraje je i herečka Uršula Kluková.
715589306262372352,16,0,"Paní Ivana Zemanová dnes navštívila Chráněné dílny ""Kopeček"" - Sdružení Neratov."
715569361239539712,9,2,"Babišův politik udeřil: Kdo ničí vlajky USA, je chuligán. Kdo ničí vlajky Číny, je aktivista -"
715545794615590912,9,0,Pan prezident diskutuje s občany v Třebechovicích pod Orebem. Přišlo na 650 lidí.
715544479965573122,5,1,"Zaveďme bezvízový styk s Čínou, vybídl Zeman. Turisté si to prý vynutí:"
715540579661258752,5,0,
715540533372973057,10,0,"Pan prezident obdržel klíč pro bezpečí naší vlasti, který vytvořily děti z mateřské školy v Třebechovicích\Orebem."
715528002638053377,7,2,"Skvělá debata se zaměstnanci Třebechovické slévárny a strojírny. Témata: Migrace, terorismus, inkluze, EU, otázka věku odchodu do důchodu."
715526890421878784,18,0,"Řeší se hranice věku odchodu do důchodu. 65 nebo 67 let? Pan prezident je pro 65 let, což je v evropských zemích běžná věková hranice."
715525370716557312,5,0,Právě teď. Pan prezident debatuje se zaměstnanci Třebechovické slévárny a strojírny.
715517864535597056,0,1,RT @TomZdechovsky: Dnes jsem hovořil s prezidentem #Zeman o tématech #UNESCO #Broumov a #Kuks a následně jsme diskutovali pitná voda #zeliv…
