id,fav_cnt,rt_cnt,text
720192121601454080,0,0,@VitaR Pošlu ji organizátorům.
720189124674723841,0,0,"@Strafelda Pokud autoritu považujeme za entitu tak je to entitní SEO. Mrkni na  ""Using nouns (i.e., entities)"
720155589473644544,12,0,Chcete se jako autorita dostat do answer boxu v Google na informační dotazy? Vím jak na to:-) #entitniseo
720110466178162690,0,1,RT @nedorostj: Paradni prednaska od @PavelUngr a ke vsemu miluje Flashe! #gbgliberec
719867881681514496,0,0,"@seznam_cz Nefunguje Pubtran, copak provádíte? :-)"
719858227651964928,3,0,39 málo používaných linkbuildingových technik. Osobně bych jich tam našel tak 10. Co vy?
719839850875207680,15,7,"Vidím to jednoznačně, pro malé klienty tu bude @Shoptet a pro velké @shopsyscz  Well played, well played..."
719836798130761730,3,1,Google o víkendu masivně manuálně penalizoval za nevhodné odchozí odkazy  #vyhledavacz
719806924892565505,0,0,@vitmichalek @Sklik Pro více slov.
719806081619374080,2,0,Prosím @Sklik kdy vám bude fungovat API? Všechny data o hledanosti mi vrací 0.
719584478226681860,0,0,"@LinkiCZ Vtipné, zejména po tom co jsi říkal na tvé přednášce na #seologer :-)"
719562224541573120,0,0,"@jan_junek @PlzenskyBarcamp Furt! Jen je třeba to správně načasovat. Navíc víkendy by měly být nepracovní, ne? :-)"
719514845931053056,0,0,"@marvas Asi bych ocenil napsat mé jméno bez chyb, nešlo by to?:-)"
719513734935396352,0,15,RT @MarketingMiner: Nová verze Marketing Mineru je na světě! :-) Mrkněte na:
719464812477071360,2,0,"@neologyc Tak to je dobrý, už @marvas sleduju, takže se projevil jako zajímavý už před tvým doporučením. O to lépe!:-)"
719455004097179649,2,0,"Mám dotaz na @PlzenskyBarcamp, bude v pátek warmup nebo si ji mám uspořádat sám?:-) #barcampcz"
719426732764315648,3,0,Zdravý rozum zvítězil. Protentokrát.
719241030588055552,18,4,"Je to tak, v úterý budu v Liberci. Odkaz na Facebook událost zde"
719224746622234625,4,1,"Náhrada Rapportive aneb skvělé rošíření pro Gmail nejen pro linkbuildery, když chcete info o kontaktech"
719176852028436481,4,2,Partnerské provize v multichannel světě. Důležitá přednáška na kterou by se nemělo zapomínat od @jantichy  #czaffil
