id,fav_cnt,rt_cnt,text
720198279661764608,0,0,Warm-up party je letos v rukou @PavelUngr ;) Přidáte se?
720198025805754368,0,1,"RT @mmencl: Rano tam, odpoledne zpet. Praha - @PlzenskyBarcamp. Kdo se prida? :) #kia #cestounecestou"
720130146292920320,2,0,"Katedrála, Škodovka, Pivovar... aneb názvy přednáškových a workshopových místností v areálu barcampu. #barcampcz"
720118764407234560,1,1,"Kudy k nám? Svozovým autobusem - . Autem --&gt; , navigace --&gt;  #barcampcz"
719824392054796288,0,0,"@janpoboril @JiriKolda Ten, kdo dělal rozpis, je nejspíš řidičem a dodal bez mapy. Zkusíme připravit nějaké podklady, když to čas dovolí ;)"
719823678574366720,1,0,"@Virus_3000 Natáčíme 3 přednáškové místnosti (Katedrála, Pivovar, Škodovka) ;)"
719630232509136896,5,2,Program třetího ročníku je venku! --&gt;  Následovat budou workshopy a novinka v podobě mobilní aplikace. #barcampcz
719544098022154240,0,0,"Díky @benesmichl za podporu na svozovou dopravu! Hledáte partnera na webdesign, microsites nebo online marketing? -&gt;"
719517116886556672,1,1,@eshopkonzultant Díky Honzo! Těšíme se v sobotu na viděnou ;)
719516888645169152,5,1,V sobotu můžete nechat auto doma! Máme pro vás přichystaný svoz. Kdy a kde? #barcampcz
719471183754883074,6,0,"Usilovně pracujeme na programu, abychom ho mohli nejdéle dnes večer zveřejnit. Sledujte nás. Díky za trpělivost ;) #barcampcz"
719146530930868224,2,1,Jaká je opravdová chuť čokolády? Stavte se v sobotu u jednoho z našich partnerů nebo zkuste tip na dárek:  #barcampcz
719038427631656961,1,2,Jak nebojovat o zákazníka s konkurencí? Čtěte a přijďte na workshop @LPelikan_tw  #barcampcz
718715378025762816,5,3,"Těšíme se na vás už za týden! Mrkejte, co vás čeká --&gt;  Na co se nejvíc těšíte vy? #barcampcz"
718424718483787776,0,0,Jak přežít dobu sedavou? Čtěte na  a doražte na přednášku a workshop @FitCoachKB #barcampcz
718081125772615680,1,0,Děkujeme @ShoperoCZ za finanční podporu na technické vybavení! Chcete založit přehledný a výkonný e-shop? Mrkněte na
717786596192481281,2,1,"Hledáme pomocníky! Ranní přípravy, péče o místnost nebo drobnosti během dne. Nabídnete pomocnou ruku? #barcampcz"
717587630439931904,3,1,Zkraťte si čekání na Plzěnský #BarcampCZ a poslechněte si rozhovor s naší hlavní organizátorkou @endis_ka :)
717229191414960132,2,1,Webová aplikace @coopix_cz propojuje lidi a projekty. Čtěte více na  #barcampcz #rozhovor
