id,fav_cnt,rt_cnt,text
720004440414138368,0,0,@TomDrahonovsky krátkej sestřih by nebyl?
719626170577338368,1,0,@jindrichsidlo jsou to prdinové naší doby
719624329001086976,0,6,RT @cermak: Vypnete porno a zkuste si chvili pocitat. Matematickej kviz pro studenty zurnalistiky. Lehky ... ale ne vsechno. …
719408679641067520,0,0,"@Aktualnecz to nechce Babiš, to chce nějaká firma z holdingu."
719090201214259200,4,0,"Kdo si chce dát třeba kuřecí, bude prostě stejně žrát vepřové!"
718840288693915648,1,0,"ehm, ehm, dneska je silný den pro @PolitickyBizar"
718703777658875904,0,0,"@TomDrahonovsky @PolitickyBizar to mě taky napadlo jako první, jako jejich argumentace. Ale stejně by to pro ně nemělo být sprosté slovo."
718678272264040448,0,33,"RT @AlexandrMitrofa: Je to sice RU autor, ale mimořádně aktuální je i pro Česko."
718664794115584001,14,6,"Straně, která si dala do názvu práva občanů, vadí lidska práva. To se může stát jen u nás. @PolitickyBizar roku."
718664480419422208,0,0,"@spozemanovci a víte vy vůbec, že se jmenujete strana PRÁV občanů?"
718325076341452800,1,0,"Taky se vám zdá, že jsem řekl:""Pořádá naše hnutí Ú..., Svoboda a přímá demokracie?"""
718324373132832772,2,0,"Veřejná debata se mnou už proběhla, ale videopozvánku stojí za to vidět i ex post."
718177982494453760,0,15,RT @pskromachova: o čem se po dnešním Máte slovo bude mluvit? v kolikátém měsíci je ovce
718139568097271808,1,0,"Těch 338 mega už @CSSD měla našetřeno v okamžiku, kdy Tvrdík přestal být volebním manažerem, ne? A Slavii samozřejmě přeji vše dobré."
717958918752886784,0,32,RT @TheStudentTimes: Člen Akční rady Bloku proti islámu Jiří Barták odhalil další programový bod strany. via @janmolacek …
717707989789048832,0,6,"RT @Kamberak: Tuhle větu hejtmana Haška je třeba si zapamatovat: ""Počty billboardů a tuny rozdaných koblih volby nevyhrávají"
717445756949540868,0,0,"@IvoIsztvan @BlanikZ @CzechTV protože @AndrejBabis v Panama papers nefiguruje, tak je to po čase věc, kterou komárek může komentovat v klidu"
717048880131620864,0,0,@NemecekSva asi jste na to na vládě dali málo peněz a za víkendy jsou příplatky ;)
717045024886767616,0,12,RT @stary_mrzout: O to je to asi horší.
717042820507418625,2,0,"Babišovi se nelíbí návrh na zálohované výživné z pera @MMarksova. Aby taky jo, on svým dětem firmy posílal poctivě."
717013398425366528,0,0,Dozorčí rada je evidentně víc než představenstvo a Jarda Tvrdík se evidentně nic nenaučil
716943668947591168,0,5,RT @Simindr: Babišovy dojírny mají výstižný slogan pro celý Agrofert.
716700699346804736,0,0,"@hosekj nedávno mi říkal jeden agent, že takhle jsou placení Matějovští a podobně. Ti by za ""tabulkové"" platy Sparty nehráli."
716695930494435329,2,0,@BlanikZ vidíš a já jsem takovým jednou dělal senátora
716695560976273409,0,0,@BlanikZ musíš vyjet z Prahy o víc než 100 km a míň než o 1000 ;)
716661133910941697,0,0,@letadlo66 kdo zas?
715929708781772800,0,7,RT @Posledniskaut: Samkovou vyloučili z Bloku proti Islámu.
715832182196084737,4,0,"Pokud jde o pana Kalouska, až se budu chtít podívat na dobrého šaška, podívám se na mluvčího,"" řekl prezident na dotaz občana ve Vrchlabí."
715829530301218816,0,31,"RT @FLutonsky: Když Miloš Zeman podepsal smlouvu, na jejímž základě dnes musí ČSSD zaplatit 300 mio, je na místě obava, co všechno podepsal…"
715826541356322816,0,0,"@Mirek_Vodicka @CSSD já vím, že jsem lempl a byl jsem v senátu"
715819937672069122,0,0,@TomDrahonovsky @iDNEScz já jim dám 200 a přeplatím je
715819752854331392,0,1,Apríl z mentálně zaostalého člověka by se dělat neměl. @Simindr @DemagogCZ @jantvrdon
715817236108296197,0,0,"To je ten stejný Jiří Šlégr, který napřed opustil ČSSD i politiku, protože se raději bude věnovat hokeji?"
715654745000656896,1,0,"Co mají Zeman a @AndrejBabis společného? Neví, co podepisují."
715647888781676544,0,47,"RT @JaroslavKmenta: Odkaz Zemanovy éry: Postřelený sponzor Lhotský Šlouf a mafiáni Likvidace Šírka 300 mega za soud o Liďák Olovo, Štiřín..…"
715608845020700673,2,0,"@JaroslavKmenta ještě byste mohl zjistit, jestli ta hůlka je výsledek nejmodernějších čínských technologií, nebo je to obyčejný bambus."
715567372158038016,0,49,"RT @1PavelSvoboda: Via Dušan Vainer, z FB"
715566591522521088,0,14,"RT @JaroslavKmenta: ""Který blbec to podepsal?"" Zeman. Takhle Paroubek vzpomínal na smlouvu ČSSD s Altnerem..."
715496007887425536,6,3,"Ovčáček je nepřítelem 4 mld na inkluzi. A z čeho si jako myslí, že zaplatíme jeho začlenění do společnosti, až skončí na hradě?"
715468453893840896,2,0,"@JaroslavKmenta a @AndrejBabis taky podnikal v klidu, ne? Doufám, že se do voleb 2017 a 2018 dočkáme ještě nějakých Vašich knih ;)"
715467052648148992,0,0,@JaroslavKmenta aspoň do toho ještě nekecali Číňani
715466797202411520,0,0,@jantvrdon tam hraje Ortel?
715463878377865216,0,0,"@JaroslavKmenta a kdo byl premiérem, když skončil jako šéf?"
715274864609902592,0,11,"RT @_JakubJanda: Zdroj: Filip Novák, FB"
715225108294602754,0,0,"Zeman je tak ješitný, že ho lze uplatit pouhým poplácáváním po ramenou. To i Klaus potřeboval aspoň příspěvek na švýcarské konto."
715026440719310849,0,0,"@GavinnyOriginal @hostzCLR vy jste samé moudro :) o intelektu těch, co jenom citují chytré věci, které vymysleli jiní, si taky myslím svoje"
714920187624046592,0,0,"@GavinnyOriginal @hostzCLR jo, já vím, že cosi napsal, ale zaokrouhlil jsem to a vyšla mi nula ;)"
714916130352140288,0,0,@hostzCLR a překlad knihy prezidenta ČR do čínštiny? Jo on vlastně žádnou nenapsal.
714915238391504896,1,0,"Koho z nabídky twiiteru sledovat? Feri nebo druhej Ovčáček, to je na hod korunou."
714890697162227712,4,0,@hostzCLR @PREZIDENTmluvci jaká je sezonní zelenina skoro v zimě?
714870466431868928,5,0,"Až se do roku 2018 podpora prezidenta otočí, Zeman bude v pohodě, ten má rentu. Ale @PREZIDENTmluvci bude muset jít dělat do @BarrandovTV."
714869000329695236,1,0,@balsinek Kalouska?
714847871942701056,0,0,"To se jim to mluví, že mu to natřeli s lidskými právi, když u toho nikdo nebyl."
714820920494399489,0,0,Dobře zlíňáci!
714817994707361792,1,0,Dobře zlíňáci!
714799769290416129,1,0,"Já se bojím odmalička na kameru."" Už jen kvůli téhle větě nějakého Číňana stál ten přímý přenos @DVTVcz za to."
