id,fav_cnt,rt_cnt,text
720170593350508544,2,1,"Zlý časy tento týden slaví desáté narozeniny, nechaly si uvařit stejnou IPA ve čtyřech různých pivovarech... :)"
720007653481713664,0,0,"Německá IPA s chmelem Hallertau Blanc... slušně hořká, s tóny bílých hroznů, bylin i angreštů. Bezva chmel i pivo :)"
719993985188696064,0,0,"Nakouřená IPA od Permona… citrusová, s tóny tropického ovoce a medu, jemně uzená a kouřová. Zajímavá a velmi pitelná"
719989883088019459,0,0,"Polská APA s kafírovými listy (ty mají v Polsku v oblibě), sladová, karamelková i citrusová. Je fajn, dobře pitelná."
719607697620996096,4,1,"Dno pytle - Lobeč IPA je fajn, nový tmavý Rauch od Komára je osobitý, užil by doladění, průměrně pitelný."
719595021729718272,3,0,"Výroční od Zlých: Šnek je ble zelenina, Třebonice nevýrazné, Falkon kvasnicový, ale dá se a Matuška svěží a povedený"
719593217596002304,7,4,Zlý časy tento týden slaví 10 let od otevření. Nechaly si uvařit stejný výroční ejl ve čtyřech různých pivovarech.
719589849611833344,1,0,"Prachatice světlý ležák a Red Ale. Obojí divné, docela máslové, neharmonické, skoro nepitelné."
719442076811804672,1,1,"Dnešní novinky jsou obzvláště vypečené – Strahov Barley Wine, černá IPA od Mazáka, Dno pytle Session IPA z Chotovin…"
719287937435897857,1,0,"Rakouská dvojitá IPA, sladší sladová, hořká, s tóny manga, grepů i pryskyřice. Prima kousek na dobrou noc :)"
719282909048401920,0,0,"Ejl od Duponta s rašelinou nakuřovaným whisky sladem. Též velmi řízný, příjemně kouřový, karamelový i peprný. Bezva!"
719268520140345348,1,0,"Rakouský Saison s chmelem Sorachi Ace, naším oblíbeným. Extrémní pěnivost i říz, ale jinak je zajímavý a povedený :)"
719239219105951744,1,0,"Rakouský Witbier s koriandrem a pomerančovou kůrou, místo pšenice jsou v něm ovesné vločky. Zajímavé a svěží pivo :)"
719189063287336960,1,0,"Gose se smrkovým jehličím. Obilné, koriandrové, nakyslé, smrk je též slušně znát. Zajímavé a moc fajn :)"
719185026072580097,0,0,"Mikkellerova 0,3% americká pšenka… svěže ovocná, obilná, tóny citrónové trávy. Super, lepší než mnoho klasických piv"
719170810125139968,0,0,"Berliner Weisse s 0,1 % alkoholu od Mikkellera. Kyselé, trochu divoké a prázdnější, ale na nealko rozhodně povedené."
718926696561393666,1,0,"14 dní jsme neměli nic z Polska, absťák... takhle černá IPA se nadmíru povedla, pražená, citrusová i pryskyřičná :)"
718922348603260928,1,0,"Winterscotch, belgický ejl od De Glazen Toren... karamelový, kořeněný, s tóny sušeného ovoce. Skvělý silák :)"
718911964093759488,4,0,"Nový jednochmel od Permona, s americkým Simcoe. Hodně tropického ovoce, borové tóny má jemnější. Čisté a bezva pivo."
718899670844588032,0,0,"Radouš americký ležák... tuna másla, trocha zeleniny a vůbec podivná extra hrůznost :("
718535769862889472,1,2,"Pivovar Kolčavka – extra hořká 12° a Mrtvý kostelník 15°. Nic moc piva, divná, průměrně pitelná. Asi mohlo být hůř…"
718529490025058305,0,0,"Imperial Stout Hel &amp; Verdoemenis... pražený, čokoládový, výrazný a parádní. Tohle má prostě De Molen v malíku :)"
718526027459338240,2,0,"IPA od Nachmelené Opice z Krnova v @BARNAPALME. Příjemně ovocná, karamelová, hořká... opravdu povedený kousek :)"
718205421228527616,1,0,"Francouzský Dubbel... karamelový a kořeněný, s tóny sušeného ovoce. Zajímavé a fajn pivo :)"
718187172969492480,1,0,"Radniční Jihlava - tmavý speciál Prior a medová APA I♥U Honey Bunny... obojí docela máslové, takový „dá se“ průměr."
718157638182313984,1,0,"Mild Ale z Laniusu, pění dost, ale ne tolik jako Gose. Trochu divočina, prázdnější, řízná, ale zajímavá a pitelná :)"
718156439450214400,1,0,"Slovenské Gose... extrémně pění, byl problém nalít třetinku do celkem litru sklenic. Ale pivo je svěží a chutné :)"
718004965688623105,5,0,Dojmy z nového pivovaru a jeho restaurace v Praze - Uhříněvsi :)
717836149335715840,0,0,"Uzrálý anglický silný ejl. Karamelový, s tóny pomerančové kůry a marmelády, kořeněný, vrstevnatý. Povedené pivo :)"
717821618496602113,0,0,"Rakouská pšenka - banánová, hřebíčková i vanilková. Příjemná a velmi dobře pitelná klasika :)"
717813039895089152,1,0,"Německý průmysláč, nefiltrovaný ležák s chmelem Cascade. Obilný, bylinný, s tóny citrusové kůry. Neurazil."
717803712933208064,1,0,"Velikonoční Konrad... s barvivem, jak jinak, ale naštěstí jen z chlorofylu. Překvapivě to není úplně hnusný."
717466043183206405,0,0,"Rakouský Milk Stout... pražený, s tóny kávy i karamelu, plný a jemný. Příjemné pivo."
717448843072286720,1,0,"Finský Saison... obilný, s tóny koriandru a zeleného pepře, mandarinkový a bylinný. Zajímavý a moc fajn :)"
717432496997199872,1,0,"Dva ejly amerického střihu od De Molena - desítka a jedenáctka. Pěkně chmelené, svěží a dobře pitelné :)"
715878450335232000,6,6,"Pokud nemáte čas číst naše pivní novinky, mrkněte alespoň na recenzi tohoto výjimečného piva"
715833316897853440,3,1,"Pivní novinky: další výborný jednochmel od Permona, zajímavý Wit od Klínec-Katz či jedno překvapení od Lobkowiczů :)"
715600508891873280,9,0,"Poctivej ejl, uvařený v Clocku speciálně pro Poctivej výčep. Citrusový, sladový, lehce bylinný... příjemný ejl :)"
715594826893365249,3,0,"1. narozeniny Poctivýho výčepu, na čepu samospád Vídeňského ležáku ze Slavkova. Fajn pivo, trochu takový Kellerbier."
715588342675595264,3,0,"O víkendu znovuotevírá rekonstruovaná Pivovarská, na čepu by měla být piva z nového pražského pivovaru Uhříněves :)"
715301802384703488,0,0,"Pivovar Gwern, novinka Stout... pražené, vyvážené, zajímavé a hezky čisté pivo. Velmi příjemné překvapení :)"
715296869879033856,0,0,"Pivovar Národní: velikonoční Ale není úplně svěží, ale jinak fajn; základní nefiltr 11 je zajímavě sladová a chutná."
715284634226057221,1,1,"Novinka ze Dna pytle - Session IPA Hard Day, vařená jako obvykle v Chotovinách. Citrusy, karamel, lesní ovoce. Bezva"
715279241806536704,1,1,"Na Strahově: letošní velikonoční světlé je fajn, novinka Barley Wine dozrávaná na cedru je bezva ovocná líbivka :)"
715278302718599170,2,0,"Hostivar: světlé 11 a 13 fajn, i když byly i lepší, nový velikonoční Pale Ale se povedl, příjemně sladový i ovocný."
714776628937822209,0,0,"Máme tu další průmyslovou IPA, tentokráte z Kácova. A navíc pár dalších, převážně svrchně kvašených novinek :)"
714572107330555904,1,0,"Německý Bock - cuvée ze sudů po bourbonu, tequile a rumu. Skvělá a výrazná líbivka s bezva dozníváním :)"
714562977249247232,1,0,"Rakouský Bevog a jeho Milk Stout. Čokoládový, pražený, lehce kávový. Výrazný a výborný. Tento pivovar prostě umí :)"
714556658811346944,0,0,"Brown Ale od Rogue s lískovými oříšky... no, chutná to jako tekuté lískové oříšky :) Ale zajímavé a velmi dobré."
