id,fav_cnt,rt_cnt,text
720147513253212161,40,3,"Na galerii Valenta s jednorukým pirátem. Předpokládám, že dnes budeme schvalovat regulaci hazardu."
719877755110879233,38,1,Vyhodnocení akce @hostzCLR
719871757503578113,84,4,"Pokaždé jsem napnutý, jestli projdou Okamurovy návrhy. Dnes to bylo vystoupení ČR z EU a právo šaría."
719859878731386884,79,2,"Přijdu do Sněmovny a u pultíku opět Černoch s referendem. Mám podezření, že ho během těch 14 dnů vůbec neopustil."
719846032658579456,25,1,"Trochu jsem se lekl, že myslí mě."
718043985961426944,130,9,"Polsko po nás chce 400 hektarů území. Přemýšlíme, že bychom jim dali nějaké lesy kolem Vrbětic."
718029953753866241,80,5,"Sestavujeme program na Májovou slavnost. Zatím máme Duo Jamaha, kouzelníka Šeklina a Václava Klause"
717963852932124672,83,6,Seděl jsem vedle u stolu. To byl kravál. Do rána tam zpívali rakouské kuplety.
717959760964886528,228,31,Ve frontě na poslanecké náhrady jsem zahlédl Ratha. Je to frajer. Pod paží má krabici od vína.
717275070964637696,126,20,Po bitvě u Kresčaku další rána pro Lucemburky.
717261356496502784,328,52,Před Sněmovnou se objevila pokladnička na záchranu ČSSD. Zatím jsou v ní tři náboje a ploštice.
716944996432216064,46,9,"Mladá kapela @PavelBelobradek basa @AndrejBabis bicí @schwarzenbergk zpěv hledá kytaristu. Plesy, zábavy, summity..."
715803484336037888,90,10,Letos jsou ty aprílové články celkem lehce rozpoznatelné:
715565592384823296,112,6,"Volal mi Hamáček, jestli nechci koupit Lidový dům. Potřebuje peníze na domovníka."
714881748061003776,845,235,"Poslední ústavní činitel, kterého pustili komunisté na nádvoří, byl Jan Masaryk. Z třetího patra."
714726315413340160,97,8,"Byl tam i Ženíšek, ale vypadl z okna."
714707907573628928,20,0,"@rozanek A Milerova vnučka Karolína se soudí se svou tetou, protože kreslí trošku krtka jinak, než děda."
714700954709463040,168,15,Dnes slavnostní otevření poslanecké kaple. Urban se zkusmo přežehnal svěcenou vodou a začalo mu hořet čelo.
714534931620347905,632,94,"Celkem se těším, až Zemanovi vyprší mandát a Ovčáček skončí na TV Barrandov v nějakém kulinářském pořadu."
714504144556593153,116,13,Buržoazní provokace. Dělnický prezident má dostat chleba se sádlem a zapíjet ho ostravským kahanem.
714483141109481472,14,1,@hostzCLR živě
714481678941560832,48,1,"Život je jako bonboniéra. Nikdy nevíš, jaký kousek ochutnáš."" ""Ale vím."""
714478604428709888,99,10,Čínského prezidenta si zahrál Jackie Chan.
714457977672114176,252,26,Oba prezidenti se pokloní památce prvního českého prezidenta Klementa Gottwalda.
714442633511366661,633,113,"Policie zadržela muže, který v parku venčil tibetskou dogu. @hostzCLR"
714432525377146881,311,42,"Chtěl jsem jít ven, ale domovnice mě zamkla. Před domem parkuje tmavá volha. Jde to rychleji, než jsem čekal. @hostzCLR"
714061590631464960,422,84,"Špaček už vyřešil přivítání. Nejprve políbí čínský prezident Zemana, pak Ovčáčka, pak políbí Zeman Tvrdíka a nakonec Ovčáček políbí Mynáře."
713843116558692352,250,24,U příležitosti návštěvy čínského prezidenta si @PREZIDENTmluvci dal závazek splnit plán na Twitteru na 138 procent.
712996506693988353,3,0,@sheatfish @hostzCLR Prý chybí sovětská.
712996364427345921,149,4,"Shodli jsme se, že z poslanců má nejmenší smysl pro humor Stanjura. Když jsme mu to oznámili, tak nás zbil."
712964128235790336,75,5,Takže podle uličního výboru bude účast v průvodu poviná. @hostzCLR
712935207339499520,142,14,Domovnice mi přišla zkontrolovat vlaječky v okně. @hostzCLR
712920934835945472,225,30,"Včerejší kamenování Babiše skončilo Sobotkový zvoláním: ""Kdo z vás nemá anonymní akcie, ať první hodí kamenem!"
712918031131873280,8,1,"@jirkakus Vezmeme jednoho šíleného muslima, postříkáme ho nanosprejem a pak už k němu nepřilnou další mudžahedíni. To by mohlo fungovat."
712902149932494848,92,11,My na twitteru máme jasno.
712900192417267712,194,23,"Ve schránce jsem našel poukaz na 4ks mávátek, 2ks rudé vlaječky a se sousedem napůl máme přidělený transparent s Leninem. @hostzCLR"
