id,fav_cnt,rt_cnt,text
720142861182889984,0,0,"@vladamusilek to ještě ne, ale už najede standardní provoz a půlka hlavy se tím uvolní na kraviny."
720141715689095168,0,0,@vladamusilek do pondělka to ještě vydržíš:)
720138903114661888,0,0,"@budik01 zatím sám, snad už jen dva tři měsíce a pak najmu otroka."
720138201319501824,20,0,"@BlanikZ to už mám, dělám cenovky malýma písmenama."
720137587793522688,42,1,"Kafomat přijede zítra! A v pondělí už i Sazka, jsem skoro komplet! Ještě asi přidám kopečkovou zmrzku a hurá zas ke kotli:) #mrzoutoil #tjz"
719953370539302912,0,0,@mnumerato cyniku:)
719952446521483268,137,22,"Neexistuje problém, který by nevyřešily dva velké koncerty a jedna vánoční píseň nazpívaná s kámošema."
719946754871992320,94,17,"Na svou obhajobu bych rád uvedl, že jsem boural výhradně do nesprávně zaparkovaných vozů."" K. Kadlec"
719945303735013377,0,5,RT @jutao_toys: Dneska jsme přidali do galerie tyhle dvě milé dámy - @Lencechova a @katchaba :)  …
719938117625593858,10,0,"@pavelkout @ZaoralekL snad CZECHINA, ne?"
719914235409612800,109,13,"Pokud jsem správně informován, policie vyhradila demonstrantům v uranovém dole prostor, kde mohli svobodně svůj názor vyjádřit."" M. Zeman"
719903915383386112,156,3,Středně nalitý domorodec si všiml obrázků od Jutao. - Kdo maloval ty hrozný držky? - Moje žena. - Velmi extravagantní. #mrzoutoil
719893464524185600,95,6,"- Hele, a v jakým jazyce si mám napsat to Bio? - A jak budeš tvítovat? - No česky, pochopitelně. -Tak anglicky."
719890488845864961,0,0,"@ivoheger možná, ale když ty věci mít nebudu, nikdy je neprodám:)"
719890179041992705,0,0,@probubbly @hosekj s lidma se dneska jeden fakt nasměje.
719889921012580352,0,0,"@WhispereCZ @vladamusilek chlapi, už to bude. Chybí jen kávovar a valím do sklepa."
719875738829250560,0,0,"@MirekUvira zbytek chrčel, tak jsem na chvilu nechal toto."
719865631932334080,2,0,@9sirtom5 kdykoli cokoli:)
719864584027422724,22,0,Díky Frekvenci 1 jsem poznal zpěváka Davida Deyla. Podle mě jasný troll. Bo to nemůže nikdo myslet vážně.
719863956878336001,1,0,@ZdenekMalinsky @hosekj achjo.
719847106543005696,1,0,"@Yanka_Chacha tihleti paraziti, to je děs."
719846562168496128,0,0,"@mlkrdan až budeš mít auto, bude zelený wunderbaum:)"
719845701165953024,0,0,@mlkrdan komu? :)
719822819832512514,0,0,@hosekj rád kdykoli půjčím:)
719822573845028864,0,1,"RT @hosekj: @stary_mrzout Rado se stalo! Melo to sve nepopiratelne vyhody. Vsichni si rikali ""chudak,"" a pousteli me ve fronte a sednout. :…"
719822182453506048,4,0,@mnumerato @pavelkout @jindrichsidlo Newcastle už fotbal nehraje.
719821575206354946,1,0,@pavelkout zejména @jindrichsidlo se rád podívá.
719819592030371840,19,0,"Díky @hosekj za propašovaní kšiltovky z Anglie do Vlasty a vážím si toho, že se kvůli cla neváhal na chvíli vydávat za fanouška Newcastle:)"
719789967489282048,41,0,"Když jelita z cocacoly neumí dodat k ledničce lišty, je tu ještě vrtačka a vázací pásky. #mrzoutoil"
719782032973438976,6,0,"@JanZivora @PCarhoun 99,8 a celý den piju pivo, rum a žeru domácí klobásy od uzenáře:)"
719768515104923648,2,0,"@marektomas98 super, od pobndělka mi to můžeš chystat:D"
719767833228525568,0,0,@marektomas98 co jsem zase provedl?
719741448233553920,9,0,"@JanPetrus_ normálně dáš prachy do igelitky, počkáš až se setmí a jedeš na parkoviště k albertu."
719602771683618817,0,0,@elcarloscz pssssttt
719597173906808832,4,1,"@KRASAVEC420 115,-?"
719596905446182912,1,0,"@KRASAVEC420 s poštovným 120, pošli adresu, ať nemusíš ani do obchodu."
719596471738347521,2,0,"@KRASAVEC420 celá sada 35,- Na kusy nehraju."
719596145379512324,1,0,@ntr23 je po nich.
719595745481990144,73,0,"To máte stěrače, podložky SPZ, gumicuky, stromečky, rukavice, tažná lana, žárovky, pojistky,lékárničky,kanystry..."
719594489787129856,1,0,"@trifyt1 pls napiš mi jak to funguje na mail rostislav.obona@gmail.com, díky!"
719520369426755585,4,0,@mio989 nějaký problém s pochopením psaného textu? @VonWrath
719519554318307328,2,0,"@jm_cz spravna pripiminka, musim ho Bobbymu za neco vymenit:)"
719509778163179520,49,1,Byl tu technik od Sazky! Nekecám! A převedl to připojení na mě! Už dneska! A fungovat to bude už příští pondělí! Kurva! #mrzoutoil
719508378645635072,0,0,@PaD_CR které myslíš?
719483973567705088,0,85,RT @VonWrath: Aktivisté se pokusili odstranit několik stovek vlajek vítajících rakouského presidenta. Po bezvýsledném hledání nakonec akci…
719458679356047360,1,0,@DaveRuzicka @dalich ticho tam!
719429351423479808,8,0,"@auv_ajs jen pozlátko, dej si na sebe dobrý pozor, umíš být taky pěknej hajzl, tak abys pak ze sebe nebyl zklamanej. @Yanka_Chacha"
719427180124577792,2,0,@dalich příště na tebe poštvu kočku.
719426378081443840,3,0,"@ntr23 @dalich má štěstí, že nepřijel ve středu. To je tam "" Kupte si metaxu""."
