id,fav_cnt,rt_cnt,text
720197138190360576,2,0,"Number26 je zajímavý berlínský startup pan evropské banky. Účet umí i pro cz, zkoušel jsem. #wolvessummit"
719927392274407426,13,1,"Joo Seznamáci :) V 3D mapách vypadá můj dům líp, než ve skutečnosti, i se skluzavkou! Jen ořech je slabota. Ještě by mi mohli nahodit dům :)"
719878097521270784,7,1,A tohle se líbí mě. Ultrakapacitory z grafenu od Skeletonu. Estonci. Těch je tu jak nasrano a jedou...#wolvessummit
719876546534764544,0,0,"Michal Šmída z Twista právě zachraňuje hroutici se program pitchu. Tak to má být,i čas je na úvěr! #wolvessummit"
719869176375074817,3,2,SwipeStock - Tinder for trading... Zajímavosti z odpoledních presentakcí na #wolvessummit
719839632788168704,0,0,@pidibi Merck mi přijde na startup trochu velký ;)
719825564111122432,15,3,"Zylia vymyslela mikrofon, který nahrává ze všech stran a pak v cloudu izoluje jednotlivé zdroje zvuku. #wolvessummit"
719823844563894272,3,0,Na #wolvessummit hodně startupů fičí na medicíně. Máme někoho takového u nás?
719823225895706624,8,1,"Když děláte pitch o startupu na skladování orgánů, nedavejte tam fotky, ze kterých se diváci poblijou. #protip"
719815946723049472,2,0,Nuviz dělá HUD pro přilby na motorku. Zajímavý a zjevně zvládnuté... #wolvessummit
719756186871021568,5,1,"Twisto se na #wolvessummit dostalo mezi semifinalisty s presentací, tak to gratulace. Já jsem neprošel, ale to mě nepřekvapilo…"
719548864768958464,0,3,RT @viteczech: Czech touch at #wolvessummit - @tangero from @energomonitor #SmartMetering #energy #AnotherNest #IoT #FundRaising https://t.…
719201230912884738,0,0,"@FuksMartin no kdyby šlo trasu z dat uložit a dokonce do mobilní aplikace, byl by to úplný luxus :)"
718870654074941440,0,0,@petrciza “Žádná další funkce kromě zobrazení není dostupná. Data jsou zobrazena do doby opuštění nebo znovu načtení stránky.”
718869390867972097,10,4,"Někdy mě Mapy.cz překvapí. Víte, jak do nich dostanete GPX soubor? Přetáhnete ho myší do okna map. Do mobilní apky to ale asi nejde, co…"
718350120027320321,122,29,"Vida, někoho napadlo, jak zařídit, aby Vltavskou vymalovali..."
717964771660853248,1,0,"Líbilo se vám u iPhone spíše provedení hranaté (modely 4,5) nebo kulaté (3,6)? #design"
717963972738170880,14,2,"Za dva měsíce používání domácí gigové přípojky do netu mám měsíční přenos 100GB a to se mi zdá, že nic nepoužívám..."
717320756737286144,1,0,How Süddeutsche Zeitung got the Panama leaks story  prostřednictvím @POLITICOEurope
717254250330529793,2,0,"@rittigivo teď ještě o tom přesvědčit tu paní a pak taky případnýho státního zástupce, který v tom tradičně mají největší maglajz :)"
717213542131363841,7,0,"@RittigIvo nezoufejte, viděl jsem tam vaši paní, to se také počítá!"
717044421599096832,1,0,@BoBMarvan no právě by mě samotného ten důvod neúspěchu zajímal :)
717043364860977152,1,0,"@BoBMarvan to by mne zajímalo co, čistě ze zvědavosti..."
717038596994306049,56,11,Máte pocit marnosti a nicotnosti? Za malý poplatek dostanu vaše jméno do Panama Paper a jste zase někdo!
716970245450244096,0,470,RT @zerohedge: Why use a shell corporation?
716958261619134464,2,7,"V Energomonitoru hledáme zkušeného programátora backendu v Pythonu, který by posílil tým (Severní Morava výhodou)"
716905304416456704,8,0,"Díky @yancad za uspořádání pátečního čtení Husákova dědy ve Veltrusích. Myslím, že se to vydařilo :)"
716012062024077314,0,355,"RT @WIRED: All of Apple’s products ever, in one glorious infographic"
715800242839490560,20,3,A ještě jedna věc mi přijde smutná. Že ty nejvtipnější letošní aprílový články nemají datum 1.4.
715770123307651072,30,1,"Kdo by to kdy hádal, že Dan Dočekal bude mluvit rozvážněji, než mluvčí prezidenta... :)"
715124482235613185,12,2,"Turris Omnia se posunul z dodání duben na květen a spíš červen, kvůli problémům s dodávkami součástek. Nepřekvapuje mě to, známe to :)"
715098257656037376,2,0,"@cz_baytik Zato okupace, normalizace, lágry a podobný chuťovky u nás tradici měly a tak v tomhle případě podporuju interrupci (tradice) …"
715097649045770242,1,0,"@cz_baytik Přesně tak, nerad bych, abychom dopadli jako oni…"
715088354090622976,25,4,"Pane @prezidentmluvci - váš trolling kavárny beru jako vaši terapii, ale když přepálíte, je už nutné vyvěsit vlajku…"
714828234953764864,34,6,Pan prezident Zeman měl zase jednou pravdu. Za všechno můžou uprchlíci a přistěhovalci. Teď nám slušné Čechy mlátí pro změnu Číňani...
714784093037273089,0,0,"@pavelkralicek @Lubos support tvrdí, že stačí restat Macka. Mě to funguje..."
714758624023814144,0,0,"@dnna Dát si vlajku bývalý kolonie je košér, dát si vlajku budoucí kolonie taky, akorát nevíme, kdo je kdo…"
