id,fav_cnt,rt_cnt,text
720217330043744256,3,0,@OT_translations @stary_mrzout no záleží hlavně na těch fotkách...
720216684120928257,3,0,@stary_mrzout já se postarám o pitný režim. Dehydratace je strašně nebezpečná. A střízlivá takovou blbost stejně Alley dělat nemůže.
720202184537858048,2,0,"@alley_blind_cz @stary_mrzout vše řádně dokumentuj a posílej na můj email. Bude to jen v mém osobním archívu, fakt."
720198644595560448,2,0,@alley_blind_cz psal jsem @stary_mrzout “Tadyk je logo OMG a šup s tím Lence na prsa!” A jsme tam! Muck!
720194324424691712,0,0,"@Chillimanjaaro nealko ne e, ale můžeme vám stočit boršickou kohoutkovou."
720185722888667136,2,0,"@krivochcalek není. Už jsem to zrušil. Dělám nerozhodného. Tebe na srandu moc neužije, co?"
720180658912522241,0,0,"@DanielHrbac nevyplním. Nesnáším marketingové telefonáty, natož když netuší, kam volají."
720177844626841601,60,1,"@zufanek myslím, že jsem před chvílí schválil generální sponzoring jedné velké kulturní akce…"
720177671267840000,49,1,"“Dobrý den, tady XX. Dovolala jsem se správně na člověka, který má na starosti marketing Slivovice Jelínek?” “Ano, co byste potřebovala?”"
720173871882747904,1,0,"@nastynun postarám se o to, jako posledně."
720170264840036354,4,0,"@nastynun Pičín, Brno, Boršice, máš to po cestě."
720157499937202176,69,25,Czech. Czechia. Czechland. Whatever.
720006749554614272,3,0,"@mydlinka @dlouhan flašek bylo málo, co vám mám povídat. Musím se nad sebou zamyslet."
719975574035423232,0,0,@sunicko @sirjackal_cz je to cinknuté. Mrknu na to.
719971370969513984,28,0,"Ehm, chlapi, vy se u toho fotit nemusíte. Dík."
719954021910495232,1,0,@wasyl1984 @adamkopp dík :)
719949199438147584,13,1,Tento trend OMFG fotek je boží! Díky!
719642919653793792,0,0,@honzakoubek pecka!
719615509231202308,2,0,"@pstanisl @Aja_X_ posíláme ve vlnách, jinak to nešlo ;)"
719500851920965632,7,0,@andy_wise a to je správně! Já OMFG16 v g&amp;t ještě ani nezkoušel a to jsem stáhl už dvě láhve.
719497813760077824,1,0,@andy_wise @ta_druha no to doufám!
719497255301025793,4,0,"@andy_wise @ta_druha tu bez sukně prý nemám posílat na veřejnost. Pošlu ti ji do DM, tako vždy."
719491832749666305,0,0,@semsuchar to jsem vždycky chtěl!
719489539312463872,6,0,"@semsuchar ano prosím, to jsou ty rozdíly v lovebrandech :)"
719487242360745984,0,0,"@freemanix no, kdyby se to ginkgo zdestilovalo, na našich kolonách, mnou, tak by to byl dobrý bootleg :)"
719484116039823360,0,0,"@freemanix moc ne e, chybělo by dalších 16 bylin a 45 % :)"
719483890814095364,0,0,"@blafman je to v současné době strašně komplikované. Přidávání lahví bývá v pohodě, ale ne v situaci, kdy je 500 objednávek. Pořeším."
719479636485349376,1,0,@foxxyczech a to mají mazlíčci rádi :)
719476723310596096,16,3,"Jestli můžu doporučit, tak OMFG určitě ochutnejte čisté a až pak třeba g&amp;t. U čistého ginu poznáte, jak velké jsou rozdíly mezi značkami."
718759361808609280,10,0,"@nastynun je ti jasné, že tohle byla tajňačka abych umožnil jednomu zoufalému fanouškovi nákup, že ano? :D"
718753430689460224,0,0,"@pobezal to byl fofr, dík :) Ale pošleme nejdřív tak za týden, nevadí?"
718751326059028481,1,0,"@jelen58 @pobezal všechny objednávky pošleme, nebojte :) A teď na pár minut pustím nenápadně další prodej. Snad si toho nikdo nevšimne."
718512690512150528,1,0,@mikr těšit!
718409736195072001,0,0,@Habus že jo? ;)
718406280285659136,0,0,"@Valeano nehoda ve Slavkově, uzavřená cesta, všechno svádí přes město."
718400489336004608,17,0,Píšou mi holky z expedice. První várka balíků je na cestě k vám. Expedovat se bude ještě asi týden.
718327962853076992,1,0,"@pstanisl potvrzovací email bohužel nepřijde, Wedos nám včera zařízl email z důvodů překročení denního limitu ;) Ale zboží dojde."
718327756396879872,1,0,"@maestrosill potvrzovací email bohužel nepřijde, Wedos nám včera zařízl email z důvodů překročení denního limitu ;)"
718138079605817345,1,0,"@nastynun kruciš, ke mě se číslo karty ani nedostane. Na eshopech platíš přes bránu zprostředkovatele, který nám pak pošle prachy převodem."
718057572025163776,2,0,@tombarys koupil jsem to s @matesola hned minulý týden a od té doby jen maluju a píšu.
718031831585697797,1,0,"@tomkyblik jo, snad jo. Ale máme zaříznuté emaily, nepřijde asi žádné potvrzení a tak :("
718015774544306176,3,0,"@danielhrbac @wedos_cz no po té smršti, co tu od půlnoci panuje asi ano. Až jsem jim psal, že je to jednorázová akce a že za to můžete vy :)"
718013966606278657,22,0,"A máme po srandě, píše mi webhosting :)"
717980375058935808,24,2,:D
717977358637117440,0,0,@3knedle viz můj předchozí tweet…
